#JD Flux Flux_err
2458327.9953 0.99893802 0.00045
2458328.0161 1.0002947 0.00045
2458328.0370 1.0003648 0.00045
2458328.0578 0.99994373 0.00045
2458328.0786 1.0002571 0.00045
2458328.0995 1.0001822 0.00045
2458328.1203 1.0004075 0.00045
2458328.1411 0.99945257 0.00045
2458328.1620 0.99996098 0.00045
2458328.1828 0.99941943 0.00045
2458328.2036 0.99990972 0.00045
2458328.2245 1.0005812 0.00045
2458328.2453 0.99941188 0.00045
2458328.2661 1.0003255 0.00045
2458328.2870 0.99975679 0.00045
2458328.3078 1.0000278 0.00045
2458328.3286 0.99982425 0.00045
2458328.3495 1.0002941 0.00045
2458328.3703 1.0000406 0.00045
2458328.3911 1.0002716 0.00045
2458328.4120 0.99930772 0.00045
2458328.4328 0.99990433 0.00045
2458328.4536 1.0000963 0.00045
2458328.4745 1.0005022 0.00045
2458328.4953 1.0002106 0.00045
2458328.5161 0.99972411 0.00045
2458328.5370 0.99964374 0.00045
2458328.5578 1.0001071 0.00045
2458328.5786 1.0001286 0.00045
2458328.5995 0.99989046 0.00045
2458328.6203 0.99964792 0.00045
2458328.6411 1.0007269 0.00045
2458328.6620 1.0006150 0.00045
2458328.6828 1.0003155 0.00045
2458328.7036 0.99974081 0.00045
2458328.7245 0.99962281 0.00045
2458328.7453 0.99978779 0.00045
2458328.7661 1.0000084 0.00045
2458328.7870 1.0004302 0.00045
2458328.8078 1.0001189 0.00045
2458328.8286 0.99972150 0.00045
2458328.8495 0.99991373 0.00045
2458328.8703 0.99966076 0.00045
2458328.8911 1.0000924 0.00045
2458328.9120 0.99998438 0.00045
2458328.9328 0.99991547 0.00045
2458328.9536 0.99983994 0.00045
2458328.9745 1.0003314 0.00045
2458328.9953 0.99985050 0.00045
2458329.0161 1.0007988 0.00045
2458329.0370 1.0000490 0.00045
2458329.0578 0.99961473 0.00045
2458329.0786 1.0004470 0.00045
2458329.0995 1.0003363 0.00045
2458329.1203 0.99957326 0.00045
2458329.1411 1.0001462 0.00045
2458329.1620 0.99947643 0.00045
2458329.1828 0.99888492 0.00045
2458329.2036 1.0003239 0.00045
2458329.2245 0.99979581 0.00045
2458329.2453 1.0000342 0.00045
2458329.2661 0.99964044 0.00045
2458329.2870 0.99985865 0.00045
2458329.3078 1.0004702 0.00045
2458329.3286 1.0005146 0.00045
2458329.3495 0.99987263 0.00045
2458329.3703 0.99977221 0.00045
2458329.3911 1.0000146 0.00045
2458329.4120 1.0005830 0.00045
2458329.4328 0.99967965 0.00045
2458329.4536 1.0000816 0.00045
2458329.4745 0.99952500 0.00045
2458329.4953 1.0007233 0.00045
2458329.5161 0.99987411 0.00045
2458329.5370 0.99971716 0.00045
2458329.5578 0.99920382 0.00045
2458329.5786 1.0012311 0.00045
2458329.5995 1.0002144 0.00045
2458329.6203 0.99942753 0.00045
2458329.6411 0.99996988 0.00045
2458329.6620 1.0005212 0.00045
2458329.6828 0.99972263 0.00045
2458329.7036 1.0008102 0.00045
2458329.7245 1.0002418 0.00045
2458329.7453 1.0007050 0.00045
2458329.7661 1.0005907 0.00045
2458329.7870 1.0004926 0.00045
2458329.8078 1.0002588 0.00045
2458329.8286 0.99996247 0.00045
2458329.8495 0.99994963 0.00045
2458329.8703 0.99965439 0.00045
2458329.8911 1.0002347 0.00045
2458329.9120 1.0000635 0.00045
2458329.9328 0.99993684 0.00045
2458329.9536 0.99986238 0.00045
2458329.9745 0.99892385 0.00045
2458329.9953 0.99913115 0.00045
2458330.0161 0.99913904 0.00045
2458330.0370 1.0001222 0.00045
2458330.0578 1.0009012 0.00045
2458330.0787 0.99990534 0.00045
2458330.0995 0.99969173 0.00045
2458330.1203 1.0002508 0.00045
2458330.1412 0.99960029 0.00045
2458330.1620 1.0004239 0.00045
2458330.1828 1.0000305 0.00045
2458330.2037 0.99976575 0.00045
2458330.2245 1.0001420 0.00045
2458330.2453 1.0005979 0.00045
2458330.2662 0.99997788 0.00045
2458330.2870 0.99968130 0.00045
2458330.3078 0.99992910 0.00045
2458330.3287 0.99967342 0.00045
2458330.3703 0.99984914 0.00045
2458330.3912 0.99996993 0.00045
2458330.4120 1.0006845 0.00045
2458330.4328 0.99950279 0.00045
2458330.4537 0.99990115 0.00045
2458330.4745 1.0002936 0.00045
2458330.4953 0.99927560 0.00045
2458330.5162 1.0006573 0.00045
2458330.5370 1.0002613 0.00045
2458330.5578 1.0005049 0.00045
2458330.5787 0.99966346 0.00045
2458330.5995 0.99969633 0.00045
2458330.6203 1.0000951 0.00045
2458330.6412 1.0002622 0.00045
2458330.6620 1.0004487 0.00045
2458330.6828 0.99999252 0.00045
2458330.7037 0.99977830 0.00045
2458330.7245 1.0002534 0.00045
2458330.7453 0.99993888 0.00045
2458330.7662 0.99971957 0.00045
2458330.7870 0.99988852 0.00045
2458330.8078 1.0001992 0.00045
2458330.8287 1.0006682 0.00045
2458330.8495 0.99989707 0.00045
2458330.8703 0.99947439 0.00045
2458330.8912 1.0004083 0.00045
2458330.9120 0.99937350 0.00045
2458330.9328 0.99993139 0.00045
2458330.9537 1.0000644 0.00045
2458330.9745 1.0001568 0.00045
2458330.9953 1.0000927 0.00045
2458331.0162 1.0001835 0.00045
2458331.0370 0.99924806 0.00045
2458331.0578 0.99975215 0.00045
2458331.0787 0.99989833 0.00045
2458331.0995 1.0001141 0.00045
2458331.1203 0.99991568 0.00045
2458331.1412 1.0002437 0.00045
2458331.1620 1.0001568 0.00045
2458331.1828 1.0001037 0.00045
2458331.2037 0.99997660 0.00045
2458331.2245 1.0001580 0.00045
2458331.2453 1.0002105 0.00045
2458331.2662 1.0003732 0.00045
2458331.2870 0.99967164 0.00045
2458331.3078 0.99966585 0.00045
2458331.3287 1.0000416 0.00045
2458331.3495 0.99975778 0.00045
2458331.3703 1.0001142 0.00045
2458331.3912 0.99969900 0.00045
2458331.4120 0.99988461 0.00045
2458331.4328 0.99960887 0.00045
2458331.4537 0.99961060 0.00045
2458331.4745 1.0007699 0.00045
2458331.4953 0.99972850 0.00045
2458331.5162 1.0006497 0.00045
2458331.5370 1.0000375 0.00045
2458331.5578 0.99979336 0.00045
2458331.5787 1.0000590 0.00045
2458331.5995 1.0002784 0.00045
2458331.6203 0.99955053 0.00045
2458331.6412 1.0003944 0.00045
2458331.6620 0.99990261 0.00045
2458331.6828 0.99989280 0.00045
2458331.7037 1.0006445 0.00045
2458331.7245 1.0008242 0.00045
2458331.7453 0.99998369 0.00045
2458331.7662 0.99966732 0.00045
2458331.7870 0.99991234 0.00045
